Dataset No.,Category Rank,Dataset Name,Publication/Release Year,Source/Repository,Dataset Link,Associated Paper,DOI,Data Category,Data Type,Solar Asset,Data Variables,Image Resolution,Number of Samples,Defect Classes,Geographic Location,Real or Synthetic,Collection Period,Access,Research Applications,Verification Status,Scope Note
1,A01,PV image database (visible EL IR) for LLM evaluation,2025,Zenodo,https://zenodo.org/records/15930823,PV-LLM project,10.5281/zenodo.15930823,Multimodal,Visible/EL/IR images,PV cells/modules,image modality; condition labels,NR,NR,normal/abnormal,Multiple/curated,Mixed real curated images,NR,Open CC BY 4.0,multimodal diagnosis; VLM/LLM evaluation,Verified repository record,Recent multimodal image release
2,A02,elpv-dataset 1.0.0.post1,2024,GitHub/PyPI,https://github.com/zae-bayern/elpv-dataset,A Benchmark for Visual Identification of Defective Solar Cells in Electroluminescence Imagery,10.1016/j.renene.2018.09.067,EL,8-bit grayscale PNG/arrays,cells/modules,defect probability; mono/poly type,300x300,2624,functional; defective (graded probability),Germany/industrial modules,Real,NR,Open,defect classification; benchmarking,Verified 2024 software/data release,Original data pre-2024; qualifying release/update is 2024
3,A03,PVEL-AD public repository release/current benchmark,2024,GitHub,https://github.com/binyisu/PVEL-AD,PVEL-AD: A Large-scale Open-world Dataset for Photovoltaic Cell Anomaly Detection,10.1109/TII.2023.3264046,EL,near-IR EL images; labels,cells,12 anomaly categories; normal,NR,36543 reported by repository/review,12 anomaly categories,China/industrial,Real,NR,Open,open-world anomaly detection; classification,Verified accessible repository; release-year basis should be cited as repository release,Underlying paper predates window; included because accessible release/current dataset falls in window
4,A04,BenchmarkELimages current benchmark release,2024,GitHub,https://github.com/TheMakiran/BenchmarkELimages,Semantic segmentation of defects in electroluminescence images of silicon photovoltaic cells,NR,EL,EL images; pixel masks,cells,24 defect types; masks,NR,>15000 cell-level images reported,24 defect types,Multiple sources,Real,NR,Open,semantic segmentation; defect taxonomy,Verified accessible repository; year based on release activity,Recent release of benchmark collection
5,A05,UCF-EL-Defect public dataset,2024,GitHub,https://github.com/ucf-photovoltaics/UCF-EL-Defect,Automated defect classification in EL imagery,NR,EL,EL images; labels; segmentation tools,cells,10 defect classes,NR,17064,10 classes,USA/industrial-lab,Real,NR,Open,classification; segmentation,Verified accessible repository; release-year basis requires repository history check,Included as recent public release
6,A06,Synthetic PV Cell Dataset public 2024 release,2024,GitHub,https://github.com/hectorfelipe98/Synthetic-PV-cell-dataset,Synthetic Dataset of Electroluminescence Images of Photovoltaic Cells by DCGANs,10.3390/su15097175,EL,EL PNG/JPG; CSV relative power,cells,relative power; class; IV-linked labels,NR,10000 synthetic + 602 real,NR,Spain/laboratory,Mixed: 602 real; 10000 synthetic,NR,Open,augmentation; defect classification; power regression,Accessible repository; 2024 release/update not independently timestamp-verified,Flag synthetic majority
7,A07,Dataset of I-V characterization and EL imaging for accelerated testing (2024 maintained release),2024,Mendeley Data,https://data.mendeley.com/datasets/vxj8bkkfkg/1,Accelerated testing of monofacial and bifacial PV cells,10.17632/vxj8bkkfkg.1,Multimodal,EL images; I-V measurements,single-cell laminates,I-V curves; irradiation; EL current bias,NR,20 laminates,degradation states,Denmark/Hong Kong,Real experimental,NR,Open CC BY 4.0,degradation; model verification,Repository verified; original publication 2021,Boundary inclusion: maintained/used in window not first released in window
8,B01,Labeled photovoltaic installations for orthographic aerial imagery in Queens New York,2026,Zenodo,https://doi.org/10.5281/zenodo.15084216,Labeled photovoltaic installations for orthographic aerial imagery in Queens New York,10.1038/s41597-025-06523-2,RGB,orthographic RGB; labels/masks,rooftop PV,installation polygons/labels,NR,NR,PV installation/background,Queens New York USA,Real imagery,NR,Open,PV mapping; segmentation,Verified paper and DOI,Published online Jan 2026
9,B02,Global Photovoltaic Solar Panel Dataset from 2019 to 2022,2024,Zenodo,https://zenodo.org/records/10684793,Global photovoltaic solar panel dataset from 2019 to 2022,10.1038/s41597-025-04985-y,RGB/Geospatial,satellite-derived vectors; imagery products,PV installations,location; polygon; year,NR,NR,PV footprint,Global,Real satellite-derived,2019-2022,Open CC BY 4.0,mapping; change detection,Verified repository record,Dataset release 2024; paper 2025
10,B03,Solar Asset Mapper Q1 2024,2024,Zenodo,https://zenodo.org/records/11368204,Solar Asset Mapper: continuously-updated global inventory,10.5281/zenodo.11368204,RGB/Geospatial,CSV; GeoPackage; XLSX; source imagery-derived polygons,utility-scale solar farms,geometry; capacity estimate; construction date,NR,63616 assets,solar-farm polygons,183 countries,Real satellite-derived,Q1 2024 snapshot,Open CC BY-NC 4.0,asset mapping; deployment analysis,Verified repository record,Distinct Q1-2024 snapshot
11,B04,Global Renewables Watch temporal solar and wind dataset,2025,Global Renewables Watch,https://globalrenewableswatch.org/,Global Renewables Watch: A Temporal Dataset of Solar and Wind Energy Derived from Satellite Imagery,https://doi.org/10.48550/arXiv.2503.14860,RGB/Geospatial,PlanetScope-derived polygons; temporal attributes,commercial solar farms,polygon; estimated construction date; prior land use,NR,86410 solar installations,solar installation polygons,Global,Real satellite-derived,2017 Q4-2024 Q2,Open/research portal,temporal mapping; land-use change,Verified paper/portal,Dataset derived from real imagery
12,B05,CPVPD-2024,2025,Zenodo/Springer Nature,https://doi.org/10.5281/zenodo.15618227,CPVPD-2024: A Chinese photovoltaic plant dataset derived via a topography-enhanced deep learning framework,10.1038/s41597-025-05891-z,RGB/Geospatial,ESRI Shapefiles; imagery-derived vectors,PV power plants,geometry; province; land context,0.5-2 m source imagery,34 provincial layers; 560 validation units,PV/non-PV,China,Real imagery/model-derived,2024 imagery,Open,PV mapping; ecology; site selection,Verified paper and repository,National panel-level vector product
13,B06,ChinaPV: spatial distribution in 2015 and 2020 v1.1,2024,Zenodo/Springer Nature,https://doi.org/10.5281/zenodo.14292571,Vectorized solar photovoltaic installation dataset across China in 2015 and 2020,10.1038/s41597-024-04356-z,RGB/Geospatial,vectors; remote-sensing labels,PV installations,polygon; year,NR,NR,PV/non-PV,China,Real satellite-derived,2015 and 2020,Open,mapping; growth analysis,Verified paper and DOI,Dataset published Dec 2024
14,B07,PV power plants of China from 2010 to 2022,2024,Figshare,https://figshare.com/articles/dataset/PV_power_plants_of_China_from_2010_to_2022/25347880,Uncovering rapid expansion of photovoltaic power plants in China 2010-2022,10.6084/m9.figshare.25347880.v1,RGB/Geospatial,Shapefile,PV power plants,spatial extent; installation date,Sentinel-2/Landsat,NR,PV polygons,China,Real satellite-derived,2010-2022,Open CC BY 4.0,mapping; expansion analysis,Verified repository record,Distinct national temporal vector dataset
15,B08,ChinaPV-10m-2024,2025,Zenodo,https://zenodo.org/records/17981360,NR,10.5281/zenodo.17981360,RGB/Geospatial,ESRI Shapefile; Sentinel-1/2 derived vectors,utility-scale and rooftop PV,polygon; capacity; annual generation; avoided CO2,10 m,NR,PV polygons,China,Real satellite-derived,2024,Open CC BY 4.0,mapping; capacity estimation,Verified repository record,Version v0; check newer version before use
16,B09,GloSoFarID,2024,GitHub/AWS,https://github.com/JomeiYang/GloSoFarID,GloSoFarID: Global Solar Farm Identification Dataset,NR,RGB/Multispectral,Sentinel-2 13-band tiles; masks,solar farms,binary masks; multispectral bands,256x256,~13703 reported tiles,solar farm/background,Global,Real satellite imagery,2021-2023,Open MIT,segmentation; solar-farm mapping,Accessible repository; year from project release,Remote-sensing dataset rather than close-range inspection
17,B10,Real-World UAV PV Soiling Dataset,2025,IA-Cobotics,https://www.ia-cobotics.com/Soiling-dataset,Aerial Imaging-Based Soiling Detection System for Solar PV Panel Cleanliness Inspection,10.3390/drones9020096,RGB,UAV RGB images; annotations,PV panels/array,dust; bird droppings,NR,~300 images,dust; bird dropping; clean,NR,Real UAV,NR,Open web download,soiling detection; object detection,Verified via open paper/data statement,Direct page availability should be rechecked
18,B11,SPID Solar Inspection enhanced defects dataset,2025,GitHub,https://github.com/ultralytics/assets/releases/,Vision-Based Object Detection for UAV Solar Panel Inspection Using an Enhanced Defects Dataset,NR,RGB,UAV RGB; COCO boxes/masks,PV panels,bird; clean; dusty; electrical; physical,224/256,950 reported,5 classes,Multiple regions,Mixed real/curated,NR,Open CC BY 4.0 reported,inspection; object detection,Paper-level identification; direct dataset URL not firmly resolved,Discovery-grade record
19,B12,Solar Panel Roboflow Universe dataset (panel-solar-bw945 release),2025,Roboflow Universe,https://universe.roboflow.com/susan-ifblr/panel-solar-bw945,Optimized YOLO based model for photovoltaic defect detection,10.1038/s41598-025-13956-7,RGB,RGB images; bounding boxes,PV panels,bird drop; cracked; dusty; panel,NR,6493,bird_drop; cracked; dusty; panel,Mixed web/field,Mixed provenance,NR,Open/registration may be required,defect detection,Verified paper and dataset page,Provenance is mixed; not exclusively field-collected
20,B13,Solar Panel Clean and Faulty Images,2024,Kaggle,https://www.kaggle.com/datasets/pythonafroz/solar-panel-images,NR,NR,RGB,RGB images; class folders,PV panels,clean; bird-drop; dusty; snow; physical; electrical,NR,873,6 classes,Mixed,Real/curated,NR,Registration required,classification; defect detection,Dataset page identified; release year should be checked on page,Secondary repository priority
21,B14,Solar Panel Dust Detection Dataset,2024,Kaggle,https://www.kaggle.com/datasets/hemanthsai7/solar-panel-dust-detection,NR,NR,RGB,RGB images,PV panels,clean/dusty,NR,2562,clean; dusty,Mixed,Real/curated,NR,Registration required,soiling classification,Dataset page identified; release year should be checked,Secondary repository priority
22,B15,SD4EO AI-based synthetic solar panel dataset on urban areas,2024,Zenodo,https://zenodo.org/records/13118591,SD4EO project documentation,10.5281/zenodo.13118591,RGB,synthetic EO RGB images; metadata,urban rooftop panels,panel placement; metadata,NR,46872,solar panel/background,Urban areas,Synthetic,NR,Open CC BY 4.0,augmentation; remote sensing,Verified repository record,Synthetic clearly flagged
23,B16,A harmonized dataset of ground-mounted solar energy in the US (GM-SEUS),2025,Springer Nature/repository,https://www.nature.com/articles/s41597-025-05862-4,A harmonized dataset of ground-mounted solar energy in the US with enhanced metadata,10.1038/s41597-025-05862-4,RGB/Geospatial,GeoPackage; Shapefile; CSV,ground-mounted PV arrays,boundaries; capacity; dates; metadata,NR,NR,solar arrays,CONUS,Real/harmonized satellite & registry,through Dec 2024,Open,mapping; planning; ecology,Verified paper/data records,Derived harmonization; no duplicates counted separately in this row
24,B17,USGS USPVDB v2.0.0,2025,USGS/Zenodo,https://zenodo.org/records/14736300,United States Large-Scale Solar Photovoltaic Database,10.5066/P9IA3TUS,RGB/Geospatial,GeoJSON/CSV/geospatial vectors,large-scale PV,location; boundary; capacity; technology,NR,NR,solar facilities,USA,Real registry/satellite-derived,through 2024,Open public domain,asset mapping; deployment,Verified Zenodo release,Version 2.0.0 snapshot
25,B18,BIPV Facades Dataset v1.0.0,2025,Zenodo/ETH Zurich,https://zenodo.org/records/15301196,NR,10.5281/zenodo.15301196,RGB/Geospatial,building/facade dataset; ZIP,building-integrated PV,facade geometry; PV suitability,NR,NR,NR,Switzerland,Real/derived urban data,NR,Open MIT,BIPV planning; urban modeling,Verified repository metadata,Not a module defect-image set
26,C01,THED-PV,2025,Zenodo/Springer Nature,https://zenodo.org/records/17404247,THED-PV: A High-Resolution Multi-Perspective Thermal Imaging Dataset for Photovoltaic Homography Estimation,10.5281/zenodo.17404247,Thermal,thermal images; metadata; synthetic homography pairs,PV panels,irradiance; temperature; humidity; soiling; geometry,640x512,12460 raw; 99680 pairs,soiling levels,NR,Real raw + synthetic geometric pairs,NR,Open CC BY 4.0,homography; fault inspection,Verified repository record,Large recent thermal benchmark
27,C02,Thermal PV Panel Detection and Fault Detection Dataset for UAV-Based Inspection,2025,Zenodo,https://zenodo.org/records/16420123,NR,10.5281/zenodo.16420123,Thermal,UAV thermal images; YOLO annotations,PV farm arrays,panel bounding boxes; faults,640x512,353 images; 26678 panel annotations,fault labels not fully specified,Sindos Thessaloniki Greece,Real UAV,NR,Open CC BY 4.0,panel detection; fault detection,Verified repository record,High accessibility
28,C03,Photovoltaic Module Dataset (PVMD),2024,Mendeley Data/Elsevier,https://data.mendeley.com/datasets/5ssmfpgrpc/1,Photovoltaic module dataset for automated fault detection and analysis,10.1016/j.dib.2024.111184,Thermal/RGB,DJI Mavic 3 Thermal images,PV modules/large system,class labels,NR,1000,hotspots; cracks; shading,Soshanguve South Africa,Real UAV,2024-09-05,Open CC BY 4.0,fault classification,Verified repository and Data in Brief paper,Primary high-relevance dataset
29,C04,Experimental Data for Mismatching Faults of Photovoltaic Modules,2024,Mendeley Data/Elsevier,https://data.mendeley.com/datasets/xjs42j8dtf/2,Dataset of photovoltaic panel performance under different fault conditions,10.1016/j.dib.2025.111392,Multimodal,thermal IS2/PNG/CSV; visible PNG; MAT; SVG,aged PV modules,V; I; P; Voc; Isc; Pmpp; irradiance; temperature,NR,2 panel references; multiple conditions,partial shading; discoloration; cracks; dirty/clean,Medellin Colombia,Real outdoor,2024-05-17,Open CC BY 4.0,fault diagnosis; I-V/P-V analysis,Verified repository and paper,Release 2024; associated paper 2025
